text,label_id,Label
"Hey, I just wanted to say that what you're going through sounds really hard, but you've already shown so much strength by reaching out. Things can get better, even when it doesn't feel that way. Please don't give up on yourself.",0,Supportive
"I've been where you are and I promise it gets easier. Not all at once, but slowly. Try to take it one day at a time. You don't have to figure everything out right now.",0,Supportive
It sounds like you're carrying a lot right now. Have you considered talking to a counselor? Sometimes just having someone neutral to talk to makes a huge difference. You deserve support.,0,Supportive
Reading your post really moved me. You're not alone in feeling this way. So many people struggle with exactly what you're describing. Please keep talking to us here.,0,Supportive
I know it feels impossible right now but please hang in there. The fact that you're still here and still fighting says a lot about who you are. We're rooting for you.,0,Supportive
Thank you for being brave enough to share this. It takes real courage. Have you been able to sleep or eat okay? Sometimes taking care of the basics can help when everything else feels overwhelming.,0,Supportive
"You matter more than you know. To people around you, even if it doesn't feel that way right now. Please reach out to someone you trust today, even just for a conversation.",0,Supportive
I've read through your post a few times. What you're describing sounds like burnout mixed with some depression. That combination is brutal. Please be gentle with yourself right now.,0,Supportive
"Things won't always feel this heavy. I know that's hard to believe when you're in the middle of it, but I've seen people come through much darker times than this and find real joy again.",0,Supportive
Please don't make any permanent decisions based on how you're feeling right now. Feelings pass. Circumstances change. You have more options than you can see right now.,0,Supportive
"Have you tried calling a warmline? Not a crisis line, just someone to talk to. It's free and you don't have to be in crisis to use it. Sometimes just hearing a voice helps.",0,Supportive
I'm really glad you posted here. This community genuinely cares. You don't have to go through this alone. What's one small thing that might help you get through today?,0,Supportive
Your feelings are valid. All of them. You don't have to justify why you're struggling to anyone. Just focus on getting through today and we can worry about tomorrow when it comes.,0,Supportive
It sounds like you've been really strong for a long time and you're just exhausted. That makes complete sense. You're allowed to need help. Please consider reaching out to a professional.,0,Supportive
"I want you to know that reaching out like this is exactly the right thing to do. You recognized you needed support and you asked for it. That's not weakness, that's wisdom.",0,Supportive
"Whatever you're going through right now, please know that your life has value and your situation can improve. There are people who care about you even if they haven't said it lately.",0,Supportive
Have you tried writing down what you're feeling? Sometimes getting it out of your head and onto paper helps organize the chaos a little. You might find it easier to see a path forward.,0,Supportive
One thing I've learned is that the darkest moments always eventually pass. Not because things magically get better but because we find ways to cope and adapt. You'll get there too.,0,Supportive
I see you. I hear you. What you're feeling is real and it's valid. Please don't isolate yourself right now. Stay connected even when it feels pointless.,0,Supportive
Please be patient with yourself. Healing isn't linear. You might feel better for a few days and then have a setback. That doesn't mean you've failed. It just means you're human.,0,Supportive
It sounds like you've been dealing with this for a while. That kind of chronic stress wears you down in ways that are hard to explain to people who haven't experienced it. You deserve real support.,0,Supportive
"I really hope things start to look up for you soon. In the meantime, is there anyone in your life you could spend some time with today? Even just being around someone else can help.",0,Supportive
"Your strength is evident even in how you wrote this post. You're still looking for solutions, still reaching out. That matters. Please keep going.",0,Supportive
"Sometimes when everything feels like too much, it helps to just focus on the next hour. Not the next day or week, just the next hour. Can you do that?",0,Supportive
I want to gently push back on the idea that things can't get better. I know it feels that way but our brains lie to us when we're in pain. Please don't trust that feeling right now.,0,Supportive
You showed up here and that counts for something. Every step toward connection and support is a step in the right direction. Keep going.,0,Supportive
"If you haven't already, please consider making an appointment with a doctor or therapist. What you're describing sounds like it might benefit from professional support alongside the community here.",0,Supportive
